Rank,Pokemon,Usage%,Raw,Raw%,Real,Real%
159,Haxorus,0.03627%,11585,0.308%,5218,0.303%
160,Lokix,0.03540%,9598,0.255%,4595,0.267%
161,Bombirdier,0.03485%,9649,0.257%,4280,0.249%
162,Oricorio-Pom-Pom,0.03456%,11305,0.301%,5442,0.316%
163,Rotom-Frost,0.03398%,4605,0.123%,2267,0.132%
164,Noivern,0.03316%,18612,0.495%,6931,0.403%
165,Copperajah,0.03271%,5142,0.137%,2379,0.138%
166,Stantler,0.03267%,4630,0.123%,1838,0.107%
167,Oricorio-Sensu,0.03237%,8775,0.234%,3965,0.230%
168,Beartic,0.03237%,8349,0.222%,4535,0.264%
169,Bruxish,0.03046%,6830,0.182%,3135,0.182%
170,Ursaring,0.03041%,9205,0.245%,4585,0.266%
171,Flapple,0.02955%,6425,0.171%,3539,0.206%
172,Weavile,0.02925%,10916,0.291%,4210,0.245%
173,Masquerain,0.02769%,7850,0.209%,3259,0.189%
174,Palossand,0.02597%,8801,0.234%,3870,0.225%
175,Mabosstiff,0.02412%,7160,0.191%,2937,0.171%
176,Donphan,0.02243%,4381,0.117%,2007,0.117%
177,Appletun,0.02115%,10328,0.275%,4208,0.245%
178,Espeon,0.02080%,10174,0.271%,3875,0.225%
179,Qwilfish,0.02041%,1776,0.047%,819,0.048%
180,Golduck,0.02025%,4798,0.128%,2283,0.133%
181,Scyther,0.02007%,4249,0.113%,1468,0.085%
182,Gothorita,0.01984%,4134,0.110%,1795,0.104%
183,Heracross,0.01982%,9070,0.241%,4774,0.277%
