index,date,name,category,value
352,2020-07-01,Pennsylvania,39,3101.0
353,2020-07-01,Rhode Island,40,109.0
354,2020-07-01,South Carolina,41,8159.0
355,2020-07-01,South Dakota,42,207.0
356,2020-07-01,Tennessee,43,3847.0
357,2020-07-01,Texas,44,52620.0
358,2020-07-01,Utah,45,714.0
359,2020-07-01,Vermont,46,0.0
360,2020-07-01,Virginia,47,2049.0
361,2020-07-01,Washington,48,2060.0
362,2020-07-01,West Virginia,49,79.0
363,2020-07-01,Wisconsin,50,896.0
364,2020-07-01,Wyoming,51,0.0
365,2020-08-01,Alabama,2,6080.0
366,2020-08-01,Alaska,3,29.0
367,2020-08-01,Arizona,4,6759.0
368,2020-08-01,Arkansas,5,2727.0
369,2020-08-01,California,6,31289.0
370,2020-08-01,Colorado,7,782.0
371,2020-08-01,Connecticut,8,60.0
372,2020-08-01,Delaware,9,31.0
373,2020-08-01,District of Columbia,0,151.0
374,2020-08-01,Florida,10,39207.0
375,2020-08-01,Georgia,11,13095.0
376,2020-08-01,Hawaii,12,260.0
377,2020-08-01,Idaho,13,1080.0
378,2020-08-01,Illinois,14,3095.0
379,2020-08-01,Indiana,15,2814.0
380,2020-08-01,Iowa,16,1771.0
381,2020-08-01,Kansas,17,985.0
382,2020-08-01,Kentucky,18,2209.0
383,2020-08-01,Louisiana,19,6231.0
384,2020-08-01,Maine,20,10.0
385,2020-08-01,Maryland,21,1736.0
386,2020-08-01,Massachusetts,22,607.0
387,2020-08-01,Michigan,23,1385.0
388,2020-08-01,Minnesota,24,1444.0
389,2020-08-01,Mississippi,25,6378.0
390,2020-08-01,Missouri,26,2808.0
391,2020-08-01,Montana,27,242.0
392,2020-08-01,Nebraska,28,468.0
393,2020-08-01,Nevada,29,3613.0
394,2020-08-01,New Hampshire,30,25.0
395,2020-08-01,New Jersey,31,1135.0
396,2020-08-01,New Mexico,32,375.0
397,2020-08-01,New York,33,900.0
398,2020-08-01,New York City,1,439.0
399,2020-08-01,North Carolina,34,6228.0
400,2020-08-01,North Dakota,35,127.0
401,2020-08-01,Ohio,36,5309.0
402,2020-08-01,Oklahoma,37,2557.0
403,2020-08-01,Oregon,38,690.0
404,2020-08-01,Pennsylvania,39,3149.0
405,2020-08-01,Rhode Island,40,131.0
406,2020-08-01,South Carolina,41,8160.0
407,2020-08-01,South Dakota,42,166.0
408,2020-08-01,Tennessee,43,5219.0
409,2020-08-01,Texas,44,39179.0
410,2020-08-01,Utah,45,390.0
411,2020-08-01,Vermont,46,0.0
412,2020-08-01,Virginia,47,2927.0
413,2020-08-01,Washington,48,1980.0
414,2020-08-01,West Virginia,49,557.0
415,2020-08-01,Wisconsin,50,1325.0
416,2020-08-01,Wyoming,51,0.0
417,2020-09-01,Alabama,2,3540.0
418,2020-09-01,Alaska,3,12.0
419,2020-09-01,Arizona,4,1672.0
420,2020-09-01,Arkansas,5,2919.0
421,2020-09-01,California,6,17180.0
422,2020-09-01,Colorado,7,677.0
423,2020-09-01,Connecticut,8,109.0
424,2020-09-01,Delaware,9,67.0
